loss,accuracy,val_loss,val_accuracy
0.5554721355438232,0.7092499732971191,0.4740627110004425,0.7616977095603943
0.4618861675262451,0.7725037336349487,0.4510498046875,0.7844720482826233
0.36717748641967773,0.8318235874176025,0.3415473401546478,0.8517598509788513
0.25371938943862915,0.8922304511070251,0.31919798254966736,0.8685300350189209
0.16849415004253387,0.9339510202407837,0.25548943877220154,0.9008281826972961
0.10817836970090866,0.9592111110687256,0.2230602502822876,0.9219461679458618
0.08582112193107605,0.9680107831954956,0.21189731359481812,0.933747410774231
0.05964468792080879,0.9775350689888,0.22240357100963593,0.932505190372467
0.053835175931453705,0.9808996319770813,0.19361993670463562,0.9378882050514221
0.0454537495970726,0.9840053915977478,0.2046600878238678,0.9393374919891357
