Epoch,Train Accuracy,Test Accuracy
1,0.8717131144146756,0.8588936734017887
2,0.8793324775353016,0.8640278237827095
3,0.8823967866164231,0.8658496190791652
4,0.8839703507391611,0.866346472341835
5,0.8852126382044805,0.8665120900960583
6,0.886330696923268,0.8678370321298443
7,0.8871588885668144,0.8691619741636304
8,0.8879870802103607,0.8693275919178536
9,0.8883183568677792,0.8694932096720769
10,0.8885668143608431,0.8694932096720769
