loss,accuracy,val_loss,val_accuracy
0.4435264468193054,0.7883375287055969,0.28992801904678345,0.8828485012054443
0.19272083044052124,0.927570104598999,0.18610648810863495,0.9286560416221619
0.09822475165128708,0.9658417701721191,0.16871334612369537,0.9368171691894531
0.06534967571496964,0.9774581789970398,0.148000568151474,0.9494537115097046
0.045790452510118484,0.9838094115257263,0.18432362377643585,0.947479248046875
0.03956564888358116,0.9867053031921387,0.1542903631925583,0.956956684589386
0.028502855449914932,0.9909833073616028,0.17980124056339264,0.956956684589386
0.02361377887427807,0.9915426969528198,0.15350285172462463,0.9620903134346008
0.022745443508028984,0.9921021461486816,0.15186893939971924,0.9593260288238525
0.01701371744275093,0.9940766096115112,0.18825741112232208,0.9541924595832825
