loss,accuracy,val_loss,val_accuracy
0.5535685420036316,0.7037405371665955,0.5316408276557922,0.7272399067878723
0.4684697389602661,0.7701481580734253,0.4764253795146942,0.777095377445221
0.3833026885986328,0.8226418495178223,0.35476964712142944,0.8417630195617676
0.2553326189517975,0.8926635384559631,0.3104977011680603,0.865606963634491
0.16418933868408203,0.9363028407096863,0.23478764295578003,0.9024566411972046
0.09390217065811157,0.9658474922180176,0.22245196998119354,0.9194363951683044
0.06611671298742294,0.9766895771026611,0.1894429624080658,0.939306378364563
0.048011232167482376,0.9829237461090088,0.2145339399576187,0.9306358098983765
0.044371604919433594,0.9840079545974731,0.1935943365097046,0.939306378364563
0.04184991121292114,0.9844596982002258,0.17631098628044128,0.9483381509780884
