loss,accuracy,val_loss,val_accuracy
0.44963300228118896,0.7839950323104858,0.32365891337394714,0.8683229684829712
0.22263777256011963,0.9159376621246338,0.2195480316877365,0.9161490797996521
0.12851257622241974,0.9552772045135498,0.16195666790008545,0.9378882050514221
0.08151598274707794,0.971323549747467,0.16045042872428894,0.9509316682815552
0.0626957044005394,0.9787773489952087,0.13531744480133057,0.95652174949646
0.04689832404255867,0.9834877848625183,0.12441849708557129,0.9621118307113647
0.03786241263151169,0.9870076179504395,0.12511064112186432,0.9645962715148926
0.033818431198596954,0.9885604977607727,0.12511210143566132,0.9639751315116882
0.024045702069997787,0.9913556575775146,0.16722333431243896,0.9594202637672424
0.01972814090549946,0.9933744072914124,0.12112849950790405,0.9664596319198608
